productname,productid,imagepath
Cỏ ngọt,b22da9ef-9a0f-4936-9440-aa4fb45dfb48,productImage/b22da9ef-9a0f-4936-9440-aa4fb45dfb48_Cỏngọt.jpg
Rau mồng tơi,c5598931-19f2-4588-8f61-094d038c7269,productImage/c5598931-19f2-4588-8f61-094d038c7269_Raumồngtơi.jpg
Dưa hấu đỏ,8e991b5f-b25e-44d3-a883-78f4f0384a05,productImage/8e991b5f-b25e-44d3-a883-78f4f0384a05_Dưahấuđỏ.jpg
Đinh lăng,b8fe1fc1-e6c0-4c7f-beb9-801851d68a5b,productImage/b8fe1fc1-e6c0-4c7f-beb9-801851d68a5b_Đinhlăng.jpg
Dưa lưới,f5943e14-3c6e-46fb-a01d-fab1712c0421,productImage/f5943e14-3c6e-46fb-a01d-fab1712c0421_Dưalưới.jpg
Chanh dây,c47a943f-1ffc-4246-a43a-3c23ec599115,productImage/c47a943f-1ffc-4246-a43a-3c23ec599115_Chanhdây.jpg
Rau má,0d7ec92b-4140-4a1f-afcf-2b842938d50e,productImage/0d7ec92b-4140-4a1f-afcf-2b842938d50e_Raumá.jpg
Cà rốt đỏ,0aefea5a-03b3-44e5-9a69-03b727d22dfa,productImage/0aefea5a-03b3-44e5-9a69-03b727d22dfa_Càrốtđỏ.jpg
Dưa Chuột,18e7fd6b-a0fb-4017-8689-21a9ee7020cc,productImage/18e7fd6b-a0fb-4017-8689-21a9ee7020cc_DưaChuột.jpg
Rau mồng tơi,91ab155e-8de9-4e11-819c-619e3e3a2b80,productImage/91ab155e-8de9-4e11-819c-619e3e3a2b80_Raumồngtơi.jpg
Rau răm,1809e731-c2cb-4155-8036-dd52131e92a2,productImage/1809e731-c2cb-4155-8036-dd52131e92a2_Raurăm.jpg
Hành tây,7286579f-c9fb-4fbb-be0c-0c6293e95ce9,productImage/7286579f-c9fb-4fbb-be0c-0c6293e95ce9_Hànhtây.jpg
Cải Bẹ Xanh,a5612187-6268-4a5a-8d31-5b03e1c73e49,productImage/a5612187-6268-4a5a-8d31-5b03e1c73e49_CảiBẹXanh.jpg
Xà lách búp,47b6d73a-e73e-4f68-89be-68e1d2ed2709,productImage/47b6d73a-e73e-4f68-89be-68e1d2ed2709_Xàláchbúp.jpg
Rau muống,5dedae03-b9c1-442e-aefe-6170e7a2aa6b,productImage/5dedae03-b9c1-442e-aefe-6170e7a2aa6b_Raumuống.jpg
Cải ngọt,e639b464-6d0a-4a96-a45b-d5ce23ccd3d8,productImage/e639b464-6d0a-4a96-a45b-d5ce23ccd3d8_Cảingọt.jpg
Đậu đen,7c98427d-2501-4b7e-b69e-5d4496734bc7,productImage/7c98427d-2501-4b7e-b69e-5d4496734bc7_Đậuđen.jpg
Đậu đỏ,359b6a3c-b2df-4cac-a951-74217b325175,productImage/359b6a3c-b2df-4cac-a951-74217b325175_Đậuđỏ.jpg
Xà lách búp,77a202f0-8daf-4dfa-abae-9d9c1491cfe9,productImage/77a202f0-8daf-4dfa-abae-9d9c1491cfe9_Xàláchbúp.jpg
Nấm sò,703d54fb-7fb5-4a59-9ac1-ee22461c152b,productImage/703d54fb-7fb5-4a59-9ac1-ee22461c152b_Nấmsò.jpg
Nấm thủy tiên,850c5d2c-fd68-4f8e-8c6c-d806e3b4ebb7,productImage/850c5d2c-fd68-4f8e-8c6c-d806e3b4ebb7_Nấmthủytiên.jpg
Bí đỏ,f0e54b90-057e-4c7c-8e66-1b7fbfc0276d,productImage/f0e54b90-057e-4c7c-8e66-1b7fbfc0276d_Bíđỏ.jpg
Xà lách búp,28fe39cb-f025-41ed-aeb1-458efb9e07c2,productImage/28fe39cb-f025-41ed-aeb1-458efb9e07c2_Xàláchbúp.jpg
Mít thái,71d94b79-71b6-4e00-b0d2-d8f349ef2929,productImage/71d94b79-71b6-4e00-b0d2-d8f349ef2929_Mítthái.jpg
Mãng Cầu Xiêm,fbb8ce28-fbcb-48b8-bffb-d2d5c43ee142,productImage/fbb8ce28-fbcb-48b8-bffb-d2d5c43ee142_MãngCầuXiêm.jpg
Bơ sáp,19006f8c-ae90-4e6a-b058-d47dadeb8bf3,productImage/19006f8c-ae90-4e6a-b058-d47dadeb8bf3_Bơsáp.jpg
Bơ Booth,7a84a556-1ce7-49c6-898b-7dff1e90a558,productImage/7a84a556-1ce7-49c6-898b-7dff1e90a558_BơBooth.jpg
Bơ bốn mùa,3d867140-0f06-40bf-933e-786651722a42,productImage/3d867140-0f06-40bf-933e-786651722a42_Bơbốnmùa.jpg
Đậu nành,056688ae-3eb3-4962-bd60-f743d110ca66,productImage/056688ae-3eb3-4962-bd60-f743d110ca66_Đậunành.jpg
Gạo ST24,f65e93b4-53e7-4a56-a3df-47cae2e462d8,productImage/f65e93b4-53e7-4a56-a3df-47cae2e462d8_GạoST24.jpg
Ngô Bao Tử,b8e78200-4f48-45f6-9d4a-d16540c5add7,productImage/b8e78200-4f48-45f6-9d4a-d16540c5add7_NgôBaoTử.jpg
Cải Xoăn,a3dfb4e4-f510-450f-8618-97cd71b45c6c,productImage/a3dfb4e4-f510-450f-8618-97cd71b45c6c_CảiXoăn.jpg
